image_url,sound_url,place_country_name,place_admin1_name,place_admin2_name,scientific_name
https://inaturalist-open-data.s3.amazonaws.com/photos/5855740/medium.jpeg,,France,Rhône-Alpes,Isère,Myotis daubentonii
https://inaturalist-open-data.s3.amazonaws.com/photos/5855744/medium.jpeg,,France,Rhône-Alpes,Isère,Plecotus auritus
https://inaturalist-open-data.s3.amazonaws.com/photos/6000514/medium.jpeg,,France,Languedoc-Roussillon,Lozère,Hypsugo savii
https://inaturalist-open-data.s3.amazonaws.com/photos/6263761/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Hypsugo savii
https://static.inaturalist.org/photos/8828290/medium.jpg,,France,Provence-Alpes-Côte d'Azur,Var,Myotis daubentonii
https://static.inaturalist.org/photos/8828340/medium.jpg,,France,Provence-Alpes-Côte d'Azur,Var,Myotis bechsteinii
https://static.inaturalist.org/photos/9197059/medium.jpeg,,France,Bretagne,Ille-et-Vilaine,Plecotus auritus
https://inaturalist-open-data.s3.amazonaws.com/photos/9716449/medium.jpeg,,France,Rhône-Alpes,Isère,Plecotus auritus
https://static.inaturalist.org/photos/9754679/medium.jpg,,France,Rhône-Alpes,Drôme,Rhinolophus hipposideros
https://static.inaturalist.org/photos/11058304/medium.jpg,,France,Lorraine,Vosges,Plecotus austriacus
https://inaturalist-open-data.s3.amazonaws.com/photos/11972112/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/11972146/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/11972145/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/11974033/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/12189007/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/12189202/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/12189192/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Rhinolophus hipposideros
https://inaturalist-open-data.s3.amazonaws.com/photos/12189653/medium.jpeg,,France,Languedoc-Roussillon,Hérault,Plecotus austriacus
https://inaturalist-open-data.s3.amazonaws.com/photos/12555482/medium.jpeg,,France,Pays de la Loire,Sarthe,Myotis nattereri
https://inaturalist-open-data.s3.amazonaws.com/photos/12555499/medium.jpeg,,France,Pays de la Loire,Sarthe,Myotis mystacinus
https://inaturalist-open-data.s3.amazonaws.com/photos/12666729/medium.jpeg,,France,Rhône-Alpes,Haute-Savoie,Barbastella barbastellus
https://inaturalist-open-data.s3.amazonaws.com/photos/12666827/medium.jpeg,,France,Rhône-Alpes,Haute-Savoie,Barbastella barbastellus
https://inaturalist-open-data.s3.amazonaws.com/photos/12666763/medium.jpeg,,France,Rhône-Alpes,Haute-Savoie,Barbastella barbastellus
https://inaturalist-open-data.s3.amazonaws.com/photos/12666884/medium.jpeg,,France,Rhône-Alpes,Haute-Savoie,Barbastella barbastellus
https://inaturalist-open-data.s3.amazonaws.com/photos/12763239/medium.jpeg,,France,Pays de la Loire,Sarthe,Myotis nattereri
https://inaturalist-open-data.s3.amazonaws.com/photos/12766517/medium.jpeg,,France,Languedoc-Roussillon,Gard,Rhinolophus ferrumequinum
https://inaturalist-open-data.s3.amazonaws.com/photos/12766542/medium.jpeg,,France,Languedoc-Roussillon,Gard,Rhinolophus hipposideros
